dataset,probe_id,contrast,severity_ms,left_condition,right_condition,estimand,primary_ci,left_accuracy_pct,right_accuracy_pct,difference_pp,ci95_low_pp,ci95_high_pp,ci_excludes_zero,n_samples,n_clusters,bootstrap_resamples,bootstrap_seed
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,participant_macro,True,91.73949579831933,91.73513849984438,0.004357298474945607,-0.1322751322751322,0.12636165577342057,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,25,pbj,cf_matched,participant_macro,True,89.62091503267975,89.62371615312792,-0.0028011204481792553,-0.17273576097105506,0.16059757236227828,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,25,clean,pbj_identity_loss,participant_macro,True,91.73949579831933,91.71335200746967,0.02614379084967326,-0.14474789915966382,0.18116246498599414,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,50,pbj,cf_matched,participant_macro,True,86.4593837535014,88.171802054155,-1.712418300653595,-2.041083099906629,-1.3977591036414567,True,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,50,clean,pbj_identity_loss,participant_macro,True,91.73949579831933,91.73109243697478,0.00840336134453786,-0.12231559290382817,0.1344537815126051,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,75,pbj,cf_matched,participant_macro,True,82.03641456582632,86.84220354808589,-4.805788982259568,-5.358566760037345,-4.238095238095237,True,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,75,clean,pbj_identity_loss,participant_macro,True,91.73949579831933,91.76097105508872,-0.02147525676937436,-0.1596638655462184,0.10270774976657336,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,pooled,pbj,cf_matched,sample_micro_cluster_ratio,False,85.91390091390092,86.42279942279943,-0.5088985088985093,-0.6320987654320989,-0.380952380952381,True,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,86.93939393939395,86.83357383357382,0.10582010582010594,-0.061945277260081456,0.26761084451006945,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,25,pbj,cf_matched,sample_micro_cluster_ratio,False,86.55411255411256,86.53679653679654,0.017316017316017306,-0.14906832298136644,0.18309758716735458,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,25,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,86.93939393939395,86.71284271284271,0.2265512265512261,0.028562610229277145,0.4251348892653242,True,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,50,pbj,cf_matched,sample_micro_cluster_ratio,False,86.05050505050504,86.4877344877345,-0.4372294372294367,-0.6437899901562693,-0.22886674049464756,True,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,50,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,86.93939393939395,86.8975468975469,0.04184704184704193,-0.14028107366977782,0.22225672877846758,False,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,PBJ_minus_CF+M,75,pbj,cf_matched,sample_micro_cluster_ratio,False,85.13708513708512,86.24386724386723,-1.1067821067821142,-1.346046511627907,-0.8591691995947318,True,7700,34,10000,20260907
stemnist,stemnist_paper_scnn_clean,Clean_minus_identity_loss,75,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,86.93939393939395,86.8903318903319,0.04906204906204916,-0.12121212121212102,0.2188847117794487,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,pooled,pbj,cf_matched,sample_micro_cluster_ratio,False,86.49158249158249,88.68061568061567,-2.189033189033222,-2.528181312782762,-1.8595478595478598,True,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,pooled,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,92.1948051948052,92.18037518037518,0.014430014430014512,-0.1063019861800349,0.12778439917446469,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,25,pbj,cf_matched,sample_micro_cluster_ratio,False,90.06204906204907,90.08513708513709,-0.023088023088023105,-0.18777715746886403,0.13809964726631394,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,25,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,92.1948051948052,92.15151515151516,0.04329004329004334,-0.11256565656565652,0.19191919191919196,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,50,pbj,cf_matched,sample_micro_cluster_ratio,False,86.91053391053391,88.64213564213566,-1.7316017316017476,-2.0853642653642654,-1.3997424809717176,True,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,50,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,92.1948051948052,92.17748917748918,0.017316017316017385,-0.10335917312661494,0.13437131958726642,False,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,PBJ_minus_CF+M,75,pbj,cf_matched,sample_micro_cluster_ratio,False,82.5021645021645,87.31457431457432,-4.812409812409777,-5.421941047571918,-4.183417508417505,True,7700,34,10000,20260907
stemnist,stemnist_tcn_large_clean,Clean_minus_identity_loss,75,clean,pbj_identity_loss,sample_micro_cluster_ratio,False,92.1948051948052,92.21212121212122,-0.017316017316017323,-0.13564213564213556,0.08888888888888893,False,7700,34,10000,20260907

